2025-09-17T22:35:51.287951 | Dépôt | 400.0 | null | C1001
2025-09-17T22:37:09.738513800 | Virement | 300.0 | C1001 | C1002
2025-09-17T22:37:24.341323900 | Dépôt | 600.0 | null | C1001
2025-09-18T10:50:40.121562300 | Dépôt | 500.0 | null | C1001
2025-09-18T10:50:59.993775 | Retrait | 50.0 | C1001 | null
2025-09-18T10:51:51.031045500 | Virement | 130.0 | C1001 | C1002
2025-09-18T10:53:22.628878600 | Virement | 150.0 | C1002 | C1001
2025-09-18T12:01:37.006448400 | Dépôt | 100.0 | null | C1001
2025-09-18T12:01:40.990132300 | Dépôt | 100.0 | null | C1001
2025-09-18T12:03:07.709695200 | Dépôt | 200.0 | null | C1001
2025-09-19T12:09:08.363919400 | Dépôt | 500.0 | null | C1001
2025-09-19T12:09:23.043461100 | Retrait | 180.0 | C1001 | null
